DistanceToObstacle,Velocity,ProximityLeft,ProximityRight,Altitude,Class
128.35,1.05,95.33,26.18,11.00,1
32.08,1.08,74.02,43.28,11.00,1
100.90,1.15,57.16,12.68,11.00,1
116.42,1.18,80.65,31.35,11.00,1
143.85,1.21,74.67,43.69,11.00,1
47.67,1.28,73.31,90.76,11.00,1
130.25,1.31,55.39,89.37,11.00,1
101.36,1.34,69.76,78.15,11.00,1
130.68,1.38,57.80,58.75,11.00,1
123.77,1.44,70.80,73.22,11.00,1
144.00,1.47,44.09,20.23,11.00,1
139.23,1.50,58.33,47.49,11.00,1
58.63,1.54,51.72,44.95,11.00,1
96.03,1.57,20.32,12.60,11.00,1
89.71,1.60,69.52,79.39,11.00,1
60.11,1.66,24.95,65.60,11.00,1
108.47,1.70,81.15,79.00,11.00,1
54.21,1.73,99.98,68.99,11.00,1
66.11,1.79,32.58,59.31,11.00,1
96.73,1.82,42.24,22.57,11.00,1
134.78,1.85,44.29,28.17,11.00,1
74.43,1.88,86.53,68.54,11.00,1
116.42,1.95,74.76,28.28,11.00,1
44.07,1.98,11.98,47.28,11.00,1
149.70,1.97,56.56,38.31,11.00,1
141.26,1.97,71.96,26.24,11.00,1
44.62,1.96,69.64,42.78,11.00,1
137.68,1.96,12.07,76.95,11.00,1
85.31,1.96,84.35,54.21,11.00,1
100.71,1.97,49.95,22.35,11.00,1
46.52,1.97,43.13,17.04,11.00,1
38.10,1.97,56.57,70.11,11.00,1
115.74,1.97,27.35,69.84,11.00,1
77.82,1.98,57.67,29.05,11.00,1
112.98,1.98,51.28,41.55,11.00,1
79.02,1.99,79.77,52.91,11.00,1
55.17,1.99,26.36,35.39,11.00,1
104.50,2.00,97.98,48.35,11.00,1
89.41,2.01,78.29,92.28,11.00,1
41.28,2.02,33.11,47.34,11.00,1
32.54,2.03,33.82,60.88,11.00,1
88.61,2.04,91.67,67.85,11.00,1
33.91,2.04,65.08,97.82,11.00,1
101.32,2.05,81.92,90.90,11.00,1
131.70,2.06,87.21,86.53,11.00,1
94.52,2.09,93.60,71.17,11.00,1
56.72,2.10,18.35,73.54,11.00,1
123.90,2.11,82.43,28.74,11.00,1
95.61,2.12,30.77,37.11,11.00,1
85.62,2.13,44.79,99.66,11.00,1
51.53,2.16,55.20,80.96,11.00,1
48.59,2.18,55.37,42.01,11.00,1
62.20,2.19,82.19,32.91,11.00,1
89.21,2.20,30.20,87.46,11.00,1
56.42,2.22,73.93,69.33,11.00,1
143.92,2.25,22.04,56.47,11.00,1
80.24,2.27,44.81,89.89,11.00,1
128.18,2.28,53.98,29.91,11.00,1
74.37,2.32,43.01,96.32,11.00,1
34.21,2.33,87.81,78.11,11.00,1
139.74,2.35,17.71,11.91,11.00,1
51.84,2.37,59.13,28.42,11.00,1
68.06,2.39,29.63,76.12,11.00,1
133.50,2.42,56.11,71.73,11.00,1
59.75,2.44,99.02,69.74,11.00,1
122.07,2.48,80.92,11.69,11.00,1
127.59,2.52,26.00,74.61,11.00,1
88.95,2.54,38.00,60.50,11.00,1
56.25,2.56,28.19,61.73,11.00,1
69.16,2.58,22.05,51.28,11.00,1
33.69,2.60,79.82,68.15,11.00,1
111.70,2.62,70.72,81.15,11.00,1
54.99,2.64,95.09,60.70,11.00,1
83.62,2.68,19.92,27.95,11.00,1
125.50,2.71,52.92,54.71,11.00,1
37.86,2.73,87.55,11.48,11.00,1
36.34,2.75,47.90,28.28,11.00,1
65.04,2.77,84.61,31.74,11.00,1
106.44,2.79,29.77,25.31,11.00,1
77.90,2.81,43.99,91.55,11.00,1
128.69,2.84,80.45,13.41,11.00,1
49.95,2.88,88.92,76.12,11.00,1
48.15,2.90,23.35,88.49,11.00,1
81.85,2.93,61.20,69.42,11.00,1
53.82,2.95,65.85,64.24,11.00,1
57.41,2.97,14.94,15.85,11.00,1
68.65,2.99,96.56,48.58,11.00,1
121.72,3.02,14.09,53.78,11.00,1
104.01,3.04,41.62,62.00,11.00,1
61.58,3.06,65.32,87.57,11.00,1
88.65,3.09,22.52,21.94,11.00,1
48.16,3.13,62.91,91.12,11.00,1
62.04,3.15,22.18,17.22,11.00,1
113.66,3.18,12.94,90.24,11.00,1
82.20,3.20,22.11,33.58,11.00,1
111.15,3.22,86.57,28.44,11.00,1
109.86,3.25,73.19,78.35,11.00,1
129.95,3.25,55.25,85.63,11.00,1
147.58,3.30,86.66,94.64,11.00,1
40.52,3.32,47.64,83.56,11.00,1
121.65,3.34,92.27,21.32,11.00,1
146.94,3.37,99.18,88.56,11.00,1
95.57,3.39,26.04,14.72,11.00,1
149.45,3.41,24.95,39.23,11.00,1
120.67,3.44,78.38,84.35,11.00,1
31.05,3.49,41.30,54.95,11.00,1
118.96,3.51,35.11,42.58,11.00,1
35.35,3.53,30.39,78.80,11.00,1
80.27,3.56,32.37,96.92,11.00,1
140.29,3.58,86.48,38.18,11.00,1
106.59,3.61,28.39,27.84,11.00,1
111.77,3.63,22.08,51.03,11.00,1
47.76,3.65,30.63,70.64,11.00,1
83.59,3.70,27.79,10.53,11.00,1
81.64,3.73,33.79,44.88,11.00,1
106.39,3.75,83.58,50.15,11.00,1
31.72,3.77,32.38,62.03,11.00,1
109.68,3.82,41.19,56.88,11.00,1
148.44,3.85,39.53,69.51,11.00,1
61.35,3.87,91.30,41.26,11.00,1
69.01,3.90,93.26,15.77,11.00,1
130.35,3.92,13.68,32.37,11.00,1
114.18,3.94,33.04,98.48,11.00,1
45.29,3.97,96.23,95.24,11.00,1
106.67,3.99,19.13,87.19,11.00,2
137.31,4.00,27.88,39.47,11.00,2
37.11,4.01,50.00,30.03,11.00,1
69.18,4.02,94.42,14.09,11.00,1
131.68,4.03,55.40,85.14,11.00,1
80.09,4.04,26.37,97.45,11.00,1
101.34,4.04,13.16,77.56,11.00,1
53.08,4.05,87.14,58.15,11.00,1
37.63,4.06,83.98,89.95,11.00,1
117.46,4.07,80.99,12.56,11.00,1
91.42,4.07,21.29,82.20,11.00,1
91.47,4.08,59.46,61.45,11.00,1
54.54,4.09,80.34,30.05,11.00,1
105.67,4.20,25.11,29.53,11.00,1
88.79,4.21,37.50,18.46,11.00,1
130.15,4.22,12.20,89.06,11.00,1
56.49,4.23,33.39,60.90,11.00,1
74.19,4.24,63.28,11.26,11.00,1
107.99,4.25,62.91,28.80,11.00,1
66.98,4.27,86.10,75.85,11.00,1
121.38,4.28,40.44,73.68,11.00,1
89.50,4.29,67.69,38.90,11.00,2
57.12,4.29,83.29,39.91,11.00,2
136.89,4.30,79.08,71.29,11.00,2
55.56,4.30,82.91,52.17,11.00,1
47.42,4.31,38.96,41.86,11.00,1
99.76,4.32,26.06,91.34,11.00,2
148.85,4.32,25.22,50.54,11.00,2
134.54,4.33,31.96,52.98,11.00,1
30.64,4.34,91.28,89.92,11.00,1
79.77,4.37,28.20,66.61,11.00,1
148.94,4.38,91.15,41.30,11.00,1
52.19,4.39,71.56,59.38,11.00,1
32.75,4.41,52.58,90.20,11.00,1
53.74,4.42,56.67,92.34,11.00,1
78.77,4.43,62.29,67.57,11.00,2
149.38,4.44,39.07,37.67,11.00,2
60.84,4.44,54.04,65.78,11.00,2
105.63,4.44,36.81,19.19,11.00,1
69.63,4.46,76.80,79.88,11.00,1
139.34,4.47,79.14,31.03,11.00,2
48.08,4.47,76.41,18.53,11.00,2
147.55,4.48,39.92,37.63,11.00,1
129.36,4.48,55.99,92.17,11.00,1
148.51,4.49,16.49,70.23,11.00,1
114.90,4.52,18.69,48.91,11.00,1
98.42,4.54,87.77,80.34,11.00,2
80.71,4.54,87.97,68.69,11.00,1
91.72,4.54,32.05,44.93,11.00,1
119.64,4.56,35.94,48.54,11.00,1
99.23,4.57,71.39,80.63,11.00,1
78.01,4.60,62.59,34.20,11.00,1
64.20,4.62,94.12,56.98,11.00,1
108.27,4.63,56.21,69.20,11.00,1
101.17,4.65,38.65,41.38,11.00,1
134.48,4.66,51.31,36.19,11.00,1
127.16,4.68,31.12,99.70,11.00,1
70.78,4.69,81.58,44.61,11.00,1
84.97,4.73,85.32,50.27,11.00,2
101.15,4.73,26.55,55.50,11.00,1
63.55,4.75,15.01,15.05,11.00,1
62.24,4.76,48.36,32.49,11.00,1
54.35,4.78,15.34,53.57,11.00,1
125.75,4.78,67.68,76.20,11.00,1
138.19,4.80,40.08,63.41,11.00,1
129.37,4.81,58.56,18.76,11.00,1
95.96,4.83,89.06,25.97,11.00,2
145.85,4.84,25.56,83.78,11.00,2
115.09,4.84,85.08,37.26,11.00,1
132.07,4.86,57.43,82.29,11.00,2
69.55,4.86,23.34,13.09,11.00,2
85.46,4.87,43.43,69.09,11.00,1
58.56,4.89,69.35,10.31,11.00,1
123.86,4.90,46.74,23.01,11.00,1
105.08,4.92,46.91,15.64,11.00,1
73.84,4.94,80.77,98.34,11.00,1
101.12,4.95,44.28,67.10,11.00,1
93.93,4.97,30.28,55.53,11.00,1
95.26,5.01,63.67,79.42,11.00,1
68.54,5.02,37.94,39.29,11.00,1
75.02,5.02,30.50,79.40,11.00,2
88.43,5.03,44.76,69.94,11.00,2
33.10,5.03,76.90,77.15,11.00,1
83.83,5.05,17.21,16.45,11.00,1
79.65,5.07,69.70,73.22,11.00,1
122.13,5.09,72.26,58.75,11.00,1
48.31,5.11,96.85,10.05,11.00,1
97.61,5.11,44.38,63.98,11.00,2
51.50,5.11,72.17,40.69,11.00,2
124.37,5.12,54.97,92.26,11.00,1
47.44,5.13,92.71,94.90,11.00,1
56.23,5.15,81.85,61.84,11.00,1
135.61,5.17,42.79,68.63,11.00,2
56.29,5.18,78.35,32.36,11.00,2
108.25,5.18,67.24,23.79,11.00,2
133.64,5.18,55.55,78.30,11.00,1
98.50,5.20,87.31,97.75,11.00,1
93.22,5.22,33.78,40.63,11.00,1
94.33,5.24,64.59,91.11,11.00,1
91.01,5.25,31.18,83.87,11.00,1
81.12,5.27,60.42,33.13,11.00,2
130.75,5.28,61.55,88.16,11.00,2
84.04,5.28,83.35,73.27,11.00,2
78.23,5.28,83.67,88.33,11.00,2
143.98,5.29,54.89,33.09,11.00,2
119.81,5.30,32.13,77.69,11.00,2
58.06,5.30,51.71,91.64,11.00,2
135.45,5.31,48.43,66.56,11.00,1
109.07,5.33,61.93,77.40,11.00,1
123.14,5.35,32.75,73.51,11.00,1
140.76,5.36,27.44,92.79,11.00,2
58.56,5.37,42.10,67.21,11.00,1
100.46,5.39,10.07,58.85,11.00,2
89.63,5.39,98.55,55.64,11.00,2
121.92,5.40,97.36,79.17,11.00,2
56.21,5.41,51.15,98.67,11.00,2
123.51,5.41,16.69,91.13,11.00,1
39.64,5.43,57.17,15.67,11.00,1
115.25,5.45,73.26,58.42,11.00,1
137.52,5.47,30.90,25.24,11.00,2
40.19,5.48,92.49,20.94,11.00,2
79.64,5.48,79.21,67.56,11.00,1
95.34,5.50,28.71,43.11,11.00,1
38.73,5.52,18.00,15.72,11.00,1
41.61,5.54,82.34,18.19,11.00,2
102.87,5.54,51.75,93.26,11.00,2
127.91,5.55,59.81,38.75,11.00,1
144.96,5.59,81.44,59.13,11.00,2
136.61,5.59,21.51,59.19,11.00,1
69.81,5.61,83.51,54.93,11.00,1
91.11,5.63,32.00,18.89,11.00,1
101.49,5.65,69.07,57.17,11.00,1
46.13,5.67,41.37,13.12,11.00,2
128.55,5.68,80.61,62.86,11.00,2
58.64,5.68,95.48,46.76,11.00,1
97.46,5.70,64.82,95.10,11.00,1
64.60,5.74,73.67,37.06,11.00,1
68.81,5.76,68.55,60.06,11.00,1
58.19,5.78,38.22,82.32,11.00,1
47.15,5.80,86.45,44.32,11.00,2
126.15,5.80,98.67,22.02,11.00,2
139.86,5.81,31.37,14.24,11.00,2
73.92,5.82,48.94,88.68,11.00,1
102.83,5.84,21.76,35.10,11.00,1
147.57,5.86,63.13,46.77,11.00,2
128.82,5.86,54.76,41.98,11.00,2
63.02,5.87,67.37,47.35,11.00,1
113.42,5.89,35.97,30.19,11.00,1
133.46,5.91,55.54,66.07,11.00,1
63.85,5.93,31.89,60.75,11.00,1
87.15,5.95,33.57,47.52,11.00,1
114.90,5.97,47.34,69.89,11.00,1
67.78,5.97,98.69,50.28,11.00,1
45.32,5.99,75.98,77.73,11.00,1
62.88,6.01,28.18,40.70,11.00,1
75.74,6.03,69.52,91.05,11.00,1
120.10,6.04,89.27,83.46,11.00,1
128.80,6.06,44.09,74.53,11.00,1
64.11,6.08,34.63,98.75,11.00,1
109.83,6.10,37.34,54.99,11.00,2
147.10,6.11,30.93,94.28,11.00,2
132.58,6.11,29.81,89.64,11.00,2
117.84,6.11,80.88,75.49,11.00,2
92.58,6.12,90.37,78.92,11.00,2
33.35,6.13,34.18,91.46,11.00,1
63.42,6.14,81.90,94.36,11.00,1
66.76,6.16,45.91,88.79,11.00,2
132.32,6.17,89.68,98.52,11.00,2
110.20,6.18,75.46,94.48,11.00,2
108.96,6.18,97.70,79.38,11.00,1
30.03,6.18,36.66,10.10,11.00,1
59.52,6.20,58.61,20.13,11.00,2
71.32,6.21,10.02,26.55,11.00,1
30.65,6.24,56.03,20.89,11.00,1
83.76,6.24,86.91,42.77,11.00,1
47.04,6.28,19.71,97.28,11.00,1
30.16,6.30,50.67,70.37,11.00,1
32.28,6.32,45.77,86.94,11.00,1
69.51,6.34,13.44,94.73,11.00,2
76.20,6.35,42.90,12.89,11.00,2
115.01,6.36,84.30,44.84,11.00,2
93.12,6.36,53.40,19.63,11.00,1
137.04,6.38,84.64,97.10,11.00,1
108.69,6.42,11.58,90.62,11.00,1
133.77,6.44,19.38,15.41,11.00,1
40.77,6.46,83.70,12.90,11.00,2
137.64,6.47,11.00,50.81,11.00,2
32.03,6.48,56.43,38.16,11.00,1
144.36,6.52,19.39,73.23,11.00,2
30.97,6.52,17.91,50.00,11.00,1
63.90,6.54,82.41,75.43,11.00,1
61.79,6.56,24.95,43.09,11.00,1
82.22,6.60,45.37,15.13,11.00,1
38.40,6.62,98.13,54.27,11.00,1
102.62,6.64,60.33,16.21,11.00,1
81.68,6.67,43.87,49.16,11.00,1
74.28,6.69,48.08,56.94,11.00,1
68.50,6.71,22.88,73.76,11.00,1
70.11,6.75,39.75,41.50,11.00,2
56.87,6.76,33.45,63.27,11.00,2
99.02,6.76,82.55,25.59,11.00,2
114.08,6.77,54.71,43.67,11.00,1
62.96,6.79,94.05,88.65,11.00,1
73.57,6.83,36.67,28.56,11.00,1
53.18,6.85,27.84,56.33,11.00,2
90.08,6.85,37.07,28.50,11.00,1
128.49,6.87,69.26,82.06,11.00,1
43.90,6.91,43.33,80.56,11.00,1
104.22,6.93,37.27,85.46,11.00,1
46.71,6.95,63.96,78.88,11.00,2
53.17,6.96,73.07,37.47,11.00,2
106.55,6.96,59.36,66.79,11.00,2
70.15,6.97,23.61,20.95,11.00,2
98.08,6.98,66.54,19.85,11.00,2
102.26,6.98,10.63,14.89,11.00,1
68.42,7.00,91.66,69.86,11.00,1
115.61,7.04,27.81,15.54,11.00,2
128.26,7.04,81.39,57.31,11.00,2
79.46,7.05,97.14,92.19,11.00,1
46.50,7.07,61.09,70.43,11.00,1
91.67,7.11,14.53,42.70,11.00,2
39.14,7.12,97.26,84.72,11.00,2
113.83,7.12,97.24,61.29,11.00,1
68.40,7.16,97.60,23.27,11.00,1
102.55,7.18,91.71,43.40,11.00,1
38.97,7.22,59.99,95.66,11.00,1
113.04,7.24,99.09,74.69,11.00,1
93.91,7.28,12.64,74.46,11.00,1
62.88,7.29,41.00,23.07,11.00,1
136.97,7.31,98.85,55.14,11.00,1
115.35,7.35,80.24,89.08,11.00,1
106.82,7.37,17.64,58.82,11.00,1
140.30,7.41,48.54,14.05,11.00,2
73.96,7.41,53.08,42.69,11.00,2
79.92,7.41,40.95,90.40,11.00,2
96.03,7.42,22.05,79.14,11.00,2
30.01,7.43,43.66,56.69,11.00,2
55.07,7.44,79.85,49.26,11.00,2
135.34,7.44,57.62,43.65,11.00,2
149.49,7.44,55.63,34.45,11.00,2
60.91,7.45,86.08,64.02,11.00,2
123.49,7.46,81.84,53.67,11.00,2
100.61,7.46,67.85,60.19,11.00,2
82.81,7.47,49.75,10.93,11.00,1
127.50,7.51,97.96,28.10,11.00,1
66.10,7.52,70.18,48.35,11.00,2
130.65,7.53,59.25,71.04,11.00,2
61.11,7.54,71.89,91.73,11.00,1
33.73,7.56,41.28,18.78,11.00,1
107.19,7.60,48.54,37.54,11.00,1
144.02,7.61,26.53,54.71,11.00,1
54.25,7.67,59.43,96.63,11.00,1
37.43,7.71,75.18,56.79,11.00,2
149.22,7.71,42.48,72.67,11.00,2
50.73,7.71,14.22,60.14,11.00,2
84.59,7.72,35.70,30.58,11.00,1
52.89,7.74,37.55,94.19,11.00,1
67.81,7.78,70.73,23.18,11.00,1
85.46,7.79,42.12,77.60,11.00,1
62.17,7.81,54.31,80.44,11.00,1
131.70,7.85,62.67,43.21,11.00,1
148.65,7.87,99.80,67.84,11.00,2
44.02,7.87,83.64,76.95,11.00,2
120.77,7.88,18.21,95.20,11.00,1
43.86,7.91,67.40,83.49,11.00,1
130.62,7.93,83.39,40.67,11.00,2
96.62,7.94,79.97,25.45,11.00,1
62.07,7.96,29.98,42.22,11.00,1
101.63,7.97,48.27,64.84,11.00,1
117.85,8.01,81.06,84.84,11.00,1
115.51,8.03,99.33,56.10,11.00,1
81.78,8.05,63.23,94.26,11.00,1
55.47,8.08,15.97,93.64,11.00,1
108.66,8.10,15.88,95.81,11.00,1
62.78,8.12,15.46,16.52,11.00,1
48.83,8.15,54.14,97.51,11.00,2
79.06,8.15,44.16,15.55,11.00,1
43.51,8.19,17.50,29.67,11.00,2
145.81,8.19,90.60,72.28,11.00,2
56.17,8.20,30.58,36.55,11.00,1
146.82,8.23,21.77,92.46,11.00,1
96.04,8.25,31.74,50.33,11.00,1
38.39,8.28,60.24,49.74,11.00,2
100.21,8.29,44.00,27.43,11.00,1
70.23,8.32,27.21,86.24,11.00,1
128.80,8.36,18.10,33.74,11.00,1
123.37,8.38,17.73,45.63,11.00,1
67.43,8.39,77.32,42.01,11.00,2
137.76,8.40,99.30,13.06,11.00,2
99.35,8.40,52.30,42.95,11.00,1
78.18,8.44,29.81,94.07,11.00,1
114.47,8.45,37.99,76.17,11.00,1
121.82,8.47,96.73,70.94,11.00,1
110.28,8.50,65.37,50.75,11.00,1
53.71,8.52,99.16,31.48,11.00,1
132.71,8.56,24.82,71.16,11.00,1
34.09,8.57,14.28,33.54,11.00,1
121.16,8.59,68.47,57.40,11.00,1
93.35,8.62,36.54,51.17,11.00,1
51.54,8.64,31.54,42.67,11.00,1
115.69,8.67,23.64,79.96,11.00,1
130.51,8.69,56.13,37.85,11.00,1
36.03,8.71,60.09,70.69,11.00,1
61.39,8.74,55.67,60.17,11.00,1
86.85,8.76,56.68,80.77,11.00,1
131.82,8.78,42.68,23.76,11.00,2
97.11,8.78,39.25,74.95,11.00,2
78.51,8.78,78.27,29.52,11.00,2
140.30,8.78,35.49,27.46,11.00,1
34.33,8.82,78.03,75.01,11.00,1
111.25,8.83,31.36,50.72,11.00,1
71.32,8.85,82.32,75.12,11.00,1
80.28,8.88,44.59,52.42,11.00,1
42.54,8.90,58.57,50.57,11.00,1
56.33,8.92,88.14,41.91,11.00,2
99.33,8.92,73.16,65.33,11.00,2
110.30,8.92,50.46,47.85,11.00,1
45.92,8.97,94.41,51.61,11.00,1
65.32,8.99,99.92,32.10,11.00,1
115.89,9.00,64.42,57.01,11.00,1
118.09,9.02,65.71,22.46,11.00,1
139.66,9.05,31.58,63.29,11.00,1
50.89,9.07,28.21,54.62,11.00,1
38.10,9.09,71.24,41.62,11.00,1
124.08,9.12,66.81,78.68,11.00,1
84.91,9.13,63.99,75.77,11.00,1
50.27,9.17,13.45,28.39,11.00,1
47.46,9.18,15.12,28.18,11.00,1
138.17,9.20,15.91,57.62,11.00,1
125.44,9.21,22.36,34.11,11.00,1
139.93,9.25,51.56,57.50,11.00,1
116.81,9.26,55.18,66.87,11.00,1
44.95,9.29,72.18,82.58,11.00,1
124.10,9.31,52.53,88.05,11.00,1
133.72,9.33,79.01,41.68,11.00,1
91.53,9.34,46.83,17.97,11.00,2
108.18,9.34,89.64,30.82,11.00,1
72.93,9.36,32.86,16.84,11.00,1
56.29,9.37,41.68,65.28,11.00,1
70.85,9.39,78.00,51.86,11.00,1
43.21,9.41,35.19,17.12,11.00,2
127.10,9.41,30.57,60.13,11.00,2
33.64,9.41,77.86,55.31,11.00,1
125.69,9.42,86.53,22.79,11.00,1
95.57,9.45,11.78,98.23,11.00,1
108.29,9.47,93.17,18.78,11.00,2
111.72,9.47,49.27,22.32,11.00,2
69.05,9.47,22.76,41.10,11.00,1
